과목명,교수,전공,학년,학수번호,강의실,요일,강의시간
동양사상과현실문제, 윤태양," 문과대학, 철학과",1,BAAA04059,문307,수,10-12
동양사상과현실문제, 윤태양," 문과대학, 철학과",1,BAAA04059,문307,금,10-12
영어의세계, 안희돈," 문과대학, 영어영문학과",1,BAAA04086,문211,화,07-09
영어의세계, 안희돈," 문과대학, 영어영문학과",1,BAAA04086,문211,목,10-12
영어의세계, 안희돈," 문과대학, 영어영문학과",1,BAAA04086,문211,화,10-12
영어의세계, 안희돈," 문과대학, 영어영문학과",1,BAAA04086,문211,목,07-09
인간과커뮤니케이션, 손석춘," 문과대학, 미디어커뮤니케이션학과",1,BAAA04095,문304,월,01-03
인간과커뮤니케이션, 손석춘," 문과대학, 미디어커뮤니케이션학과",1,BAAA04095,문304,수,04-06
인간과커뮤니케이션, 박지선," 문과대학, 미디어커뮤니케이션학과",1,BAAA04095,문213,수,13-18
현대사입문, 김명환," 문과대학, 사학과, 지리학과, 지리학과학과",1,BAAA04110,문204,목,01-06
현대중국의이해, 김혜주," 문과대학, 중어중문학과",1,BAAA04112,문212,화,01-06
현대중국의이해, 정겨울," 문과대학, 중어중문학과",1,BAAA04112,문210,수,07-12
문화콘텐츠학입문, 윤혜영," 문과대학, 문화콘텐츠학과",1,BAAA39999,문305,화,10-12
문화콘텐츠학입문, 윤혜영," 문과대학, 문화콘텐츠학과",1,BAAA39999,문305,목,10-12
문화콘텐츠학입문, 이동배," 문과대학, 문화콘텐츠학과",1,BAAA39999,문302,화,14-16
문화콘텐츠학입문, 이동배," 문과대학, 문화콘텐츠학과",1,BAAA39999,문305,수,14-16
매스커뮤니케이션의이해, 이주현," 문과대학, 미디어커뮤니케이션학과",1,BAAA47907,문213,화,01-03
매스커뮤니케이션의이해, 이주현," 문과대학, 미디어커뮤니케이션학과",1,BAAA47907,문213,목,04-06
매스커뮤니케이션의이해, 이주현," 문과대학, 미디어커뮤니케이션학과",1,BAAA47907,문213,화,04-06
매스커뮤니케이션의이해, 이주현," 문과대학, 미디어커뮤니케이션학과",1,BAAA47907,문213,목,01-03
문학의이해와감상, 홍재범, 국어국문학과,1,BAAA49071,문303,월,16-18
문학의이해와감상, 홍재범, 국어국문학과,1,BAAA49071,문303,목,03-05
